Date of Purchase,Purchaser Name,Denomination
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,"1,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,"10,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,"1,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,"1,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,"10,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,"1,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,"1,00,000"
12-Apr-19,MSPL LTD,"1,00,00,000"
12-Apr-19,MYRIAD DEVELOPERS,"1,00,000"
12-Apr-19,MYRIAD DEVELOPERS,"1,00,000"
12-Apr-19,MYRIAD DEVELOPERS,"1,00,000"
12-Apr-19,MYRIAD DEVELOPERS,"1,00,000"
12-Apr-19,MYRIAD DEVELOPERS,"10,00,000"
12-Apr-19,MYRIAD DEVELOPERS,"1,00,000"
12-Apr-19,OMKAR VENTURES PVT LTD,"1,00,00,000"
12-Apr-19,OMKAR VENTURES PVT LTD,"1,00,00,000"
12-Apr-19,OMKAR VENTURES PVT LTD,"1,00,00,000"
12-Apr-19,OMKAR VENTURES PVT LTD,"1,00,00,000"
12-Apr-19,PATEL HIGHWAY MANAGEMENT PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,"1,00,00,000"
12-Apr-19,PONUGOTI HEMENDAR RAO,"1,00,000"
12-Apr-19,PONUGOTI HEMENDAR RAO,"1,00,000"
12-Apr-19,PONUGOTI HEMENDAR RAO,"1,00,000"
12-Apr-19,RENUKA INVESTMENTS AND FINANCE LTD,"1,00,00,000"
12-Apr-19,RENUKA INVESTMENTS AND FINANCE LTD,"1,00,00,000"
12-Apr-19,RENUKA INVESTMENTS AND FINANCE LTD,"1,00,00,000"
12-Apr-19,RENUKA INVESTMENTS AND FINANCE LTD,"1,00,00,000"
12-Apr-19,RENUKA INVESTMENTS AND FINANCE LTD,"1,00,00,000"
12-Apr-19,RENUKESHWAR INVESTMENTS PVT LTD,"1,00,00,000"
12-Apr-19,RENUKESHWAR INVESTMENTS PVT LTD,"1,00,00,000"
12-Apr-19,RENUKESHWAR INVESTMENTS PVT LTD,"1,00,00,000"
12-Apr-19,RENUKESHWAR INVESTMENTS PVT LTD,"1,00,00,000"
12-Apr-19,RENUKESHWAR INVESTMENTS PVT LTD,"1,00,00,000"
12-Apr-19,SHIVAM TRANSCON PRIVATE LIMITED,"10,00,000"
12-Apr-19,SHIVAM TRANSCON PRIVATE LIMITED,"10,00,000"
12-Apr-19,SHIVAM TRANSCON PRIVATE LIMITED,"10,00,000"
12-Apr-19,SHIVAM TRANSCON PRIVATE LIMITED,"10,00,000"
12-Apr-19,SHIVAM TRANSCON PRIVATE LIMITED,"10,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,"1,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,"1,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,"1,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,"1,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,"10,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,"1,00,000"
12-Apr-19,TEXPORT CREATION,"10,00,000"
12-Apr-19,TEXPORT CREATION,"10,00,000"
12-Apr-19,TEXPORT CREATION,"10,00,000"
12-Apr-19,TEXPORT CREATION,"10,00,000"
12-Apr-19,TEXPORT CREATION,"10,00,000"
12-Apr-19,TEXPORT CREATION,"10,00,000"
12-Apr-19,TEXPORT CREATION,"10,00,000"
12-Apr-19,TEXPORT CREATION,"10,00,000"
12-Apr-19,TEXPORT CREATION,"10,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,"1,00,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,"10,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,"10,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,"10,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,"1,00,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,"10,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,"1,00,00,000"
15-Apr-19,BELLWEY INTERNATIONAL CO,"10,00,000"
15-Apr-19,BELLWEY INTERNATIONAL CO,"10,00,000"
15-Apr-19,BELLWEY INTERNATIONAL CO,"10,00,000"
15-Apr-19,BELLWEY INTERNATIONAL CO,"10,00,000"
15-Apr-19,BELLWEY INTERNATIONAL CO,"10,00,000"
15-Apr-19,CHHATTISGARH DISTILLERIES LIMITED,"1,00,00,000"
15-Apr-19,DEMPO INDUSTRIES PVT LTD,"1,00,000"
15-Apr-19,DEMPO INDUSTRIES PVT LTD,"1,00,000"
15-Apr-19,DEMPO INDUSTRIES PVT LTD,"1,00,000"
15-Apr-19,DEMPO INDUSTRIES PVT LTD,"1,00,000"
15-Apr-19,DEMPO INDUSTRIES PVT LTD,"1,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,"1,00,00,000"
15-Apr-19,KOTESWAR RAO GULLAPALLY,"1,00,000"
15-Apr-19,KOTESWAR RAO GULLAPALLY,"1,00,000"
15-Apr-19,KOTESWAR RAO GULLAPALLY,"1,00,000"
15-Apr-19,KOTESWAR RAO GULLAPALLY,"1,00,000"
15-Apr-19,KOTESWAR RAO GULLAPALLY,"1,00,000"
15-Apr-19,MANDADI RAMULU,"1,00,000"
15-Apr-19,MANDADI RAMULU,"1,00,000"
15-Apr-19,MANDADI RAMULU,"1,00,000"
15-Apr-19,MANDADI RAMULU,"1,00,000"
15-Apr-19,MOHINDER                                   KUMAR JAIN,"10,00,000"
15-Apr-19,MOHINDER                                   KUMAR JAIN,"1,00,000"
15-Apr-19,MOHINDER                                   KUMAR JAIN,"1,00,000"
15-Apr-19,MOHINDER                                   KUMAR JAIN,"1,00,000"
15-Apr-19,MOHINDER                                   KUMAR JAIN,"1,00,000"
15-Apr-19,MOHINDER                                   KUMAR JAIN,"1,00,000"
15-Apr-19,MOHINDER                                   KUMAR JAIN,"10,00,000"
15-Apr-19,MR RAJ DEEPAK VARSHNEY,"1,00,000"
15-Apr-19,MR RAJ DEEPAK VARSHNEY,"1,00,000"
15-Apr-19,MR RAJ DEEPAK VARSHNEY,"1,00,000"
15-Apr-19,MR RAJ DEEPAK VARSHNEY,"1,00,000"
15-Apr-19,MR RAJ DEEPAK VARSHNEY,"1,00,000"
15-Apr-19,MS PEARL GLOBAL INDUSTRIES LTD FORM,"10,00,000"
15-Apr-19,MS PEARL GLOBAL INDUSTRIES LTD FORM,"10,00,000"
15-Apr-19,MS PEARL GLOBAL INDUSTRIES LTD FORM,"10,00,000"
15-Apr-19,MS PEARL GLOBAL INDUSTRIES LTD FORM,"10,00,000"
15-Apr-19,MS PEARL GLOBAL INDUSTRIES LTD FORM,"10,00,000"
15-Apr-19,MS PEARL GLOBAL INDUSTRIES LTD FORM,"10,00,000"
15-Apr-19,MS PEARL GLOBAL INDUSTRIES LTD FORM,"10,00,000"
15-Apr-19,MS PEARL GLOBAL INDUSTRIES LTD FORM,"10,00,000"
15-Apr-19,MS PEARL GLOBAL INDUSTRIES LTD FORM,"10,00,000"
15-Apr-19,MS PEARL GLOBAL INDUSTRIES LTD FORM,"10,00,000"
15-Apr-19,OCEAN SPARKLE LTD,"10,00,000"
15-Apr-19,PAPPI REDDY                                KISHORE KUMAR REDDY,"1,00,000"
15-Apr-19,PAPPI REDDY                                KISHORE KUMAR REDDY,"1,00,000"
15-Apr-19,PAPPI REDDY                                KISHORE KUMAR REDDY,"1,00,000"
15-Apr-19,PAPPI REDDY                                KISHORE KUMAR REDDY,"1,00,000"
15-Apr-19,PAPPI REDDY                                KISHORE KUMAR REDDY,"1,00,000"
15-Apr-19,PEDDIREDDY RAMANJANEYA REDDY,"1,00,000"
15-Apr-19,PEDDIREDDY RAMANJANEYA REDDY,"1,00,000"
15-Apr-19,PEDDIREDDY RAMANJANEYA REDDY,"1,00,000"
15-Apr-19,PEDDIREDDY RAMANJANEYA REDDY,"1,00,000"
15-Apr-19,PEDDIREDDY RAMANJANEYA REDDY,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PREMCHAND GODHA,"1,00,000"
15-Apr-19,PRL DEVELOPERS PRIVATE LIMITED,"1,00,00,000"
15-Apr-19,PRL DEVELOPERS PRIVATE LIMITED,"1,00,00,000"
15-Apr-19,PRL DEVELOPERS PRIVATE LIMITED,"1,00,00,000"
